Class,mAP50,mAP50-95,Precision,Recall
knife,0.00598644859466658,0.002385014538939257,0.009305117814798139,0.1971383147853736
scissors,0.03208713297756825,0.022821449856465597,0.05218317358892439,0.06703146374829001
