epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,2823.23,1.31336,3.04177,1.37628,0.94279,0.8762,0.93327,0.64175,1.14178,1.77874,1.22651,0.00212943,0.000709809,0.00212943,0.000709809,0.00212943,0.000709809,0.00212943,0.000709809
31,2915.83,1.3029,3.01467,1.37301,0.94262,0.87814,0.93176,0.63848,1.15429,1.79645,1.22723,0.00203041,0.000676802,0.00203041,0.000676802,0.00203041,0.000676802,0.00203041,0.000676802
32,3008.33,1.29924,2.97314,1.36619,0.94206,0.88037,0.93821,0.65029,1.11924,1.74669,1.21566,0.00193139,0.000643795,0.00193139,0.000643795,0.00193139,0.000643795,0.00193139,0.000643795
33,3101.54,1.29244,2.96733,1.3709,0.95099,0.88046,0.93819,0.65372,1.11176,1.73662,1.20803,0.00183237,0.000610789,0.00183237,0.000610789,0.00183237,0.000610789,0.00183237,0.000610789
34,3193.8,1.27633,2.91272,1.34927,0.94815,0.87196,0.93523,0.6541,1.10983,1.74068,1.2198,0.00173335,0.000577782,0.00173335,0.000577782,0.00173335,0.000577782,0.00173335,0.000577782
35,3286.84,1.27942,2.9166,1.35525,0.94852,0.88586,0.94069,0.65833,1.10721,1.68155,1.20933,0.00163433,0.000544776,0.00163433,0.000544776,0.00163433,0.000544776,0.00163433,0.000544776
36,3379.6,1.25675,2.85433,1.33564,0.94922,0.88203,0.93986,0.66218,1.09907,1.69087,1.20303,0.00153531,0.000511769,0.00153531,0.000511769,0.00153531,0.000511769,0.00153531,0.000511769
37,3471.68,1.2545,2.83625,1.33589,0.95234,0.88618,0.94371,0.66524,1.08412,1.65296,1.20017,0.00143629,0.000478762,0.00143629,0.000478762,0.00143629,0.000478762,0.00143629,0.000478762
38,3564.17,1.2435,2.82151,1.32739,0.95553,0.88699,0.94349,0.66627,1.09401,1.65392,1.19765,0.00133727,0.000445756,0.00133727,0.000445756,0.00133727,0.000445756,0.00133727,0.000445756
39,3656.5,1.23823,2.77099,1.32057,0.94891,0.89681,0.94142,0.66822,1.087,1.63782,1.19031,0.00123825,0.000412749,0.00123825,0.000412749,0.00123825,0.000412749,0.00123825,0.000412749
40,3748.87,1.23014,2.74842,1.32045,0.94784,0.9035,0.94435,0.66806,1.08501,1.64402,1.18583,0.00113923,0.000379743,0.00113923,0.000379743,0.00113923,0.000379743,0.00113923,0.000379743
41,3844.9,1.10697,1.67487,1.23407,0.95061,0.89614,0.94,0.66174,1.0917,1.68085,1.20043,0.00104021,0.000346736,0.00104021,0.000346736,0.00104021,0.000346736,0.00104021,0.000346736
42,3936.71,1.08213,1.59492,1.22316,0.95836,0.90065,0.9448,0.66757,1.08808,1.62406,1.19541,0.000941188,0.000313729,0.000941188,0.000313729,0.000941188,0.000313729,0.000941188,0.000313729
43,4028.73,1.06817,1.5491,1.21444,0.95539,0.9029,0.9469,0.67041,1.09706,1.61558,1.19262,0.000842168,0.000280723,0.000842168,0.000280723,0.000842168,0.000280723,0.000842168,0.000280723
44,4120.37,1.04316,1.50623,1.19365,0.94897,0.91089,0.94514,0.67233,1.08819,1.60287,1.18506,0.000743149,0.000247716,0.000743149,0.000247716,0.000743149,0.000247716,0.000743149,0.000247716
45,4212.29,1.02365,1.45916,1.18563,0.95681,0.90467,0.94668,0.67724,1.07661,1.58964,1.1795,0.000644129,0.00021471,0.000644129,0.00021471,0.000644129,0.00021471,0.000644129,0.00021471
46,4303.68,1.00765,1.44341,1.17711,0.95645,0.90665,0.94508,0.67776,1.07898,1.57923,1.18394,0.000545109,0.000181703,0.000545109,0.000181703,0.000545109,0.000181703,0.000545109,0.000181703
47,4395.72,1.00035,1.41637,1.17036,0.96207,0.90524,0.94699,0.67754,1.0825,1.56479,1.18235,0.000446089,0.000148696,0.000446089,0.000148696,0.000446089,0.000148696,0.000446089,0.000148696
48,4487.62,0.98784,1.39058,1.16135,0.95846,0.90646,0.94757,0.68125,1.07604,1.55635,1.1805,0.000347069,0.00011569,0.000347069,0.00011569,0.000347069,0.00011569,0.000347069,0.00011569
49,4579.61,0.96731,1.35831,1.14971,0.95839,0.90719,0.9475,0.68046,1.07451,1.56574,1.17731,0.00024805,8.26832e-05,0.00024805,8.26832e-05,0.00024805,8.26832e-05,0.00024805,8.26832e-05
50,4670.79,0.96332,1.33859,1.14565,0.95966,0.90898,0.94917,0.68021,1.07717,1.5488,1.17816,0.00014903,4.96766e-05,0.00014903,4.96766e-05,0.00014903,4.96766e-05,0.00014903,4.96766e-05
